id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
TSLA_2021-01-24;TSLA;2021-01-24 21:47:21;2021-01-25;0;0;0;0;0;UNCHECKED;0.20423;0.2846;0.1446799999999999;0.0
TSLA_2021-01-23;TSLA;2021-01-23 23:05:52;2021-01-25;0;0;0;0;0;UNCHECKED;0.1078428571428571;0.3612;-0.1148428571428571;0.0
FSLY_2021-03-09;FSLY;2021-03-09 16:55:00;2021-03-09;0;0;0;0;0;UNCHECKED;0.23374999999999999;0.44015;0.235775;0.1591
FSLY_2021-03-06;FSLY;2021-03-06 11:36:00;2021-03-08;0;0;0;0;0;UNCHECKED;0.1366;0.1366;0.0;0.0
FSLY_2021-03-04;FSLY;2021-03-04 21:05:08;2021-03-05;0;0;0;0;0;UNCHECKED;-0.04316666666666665;0.1901;0.06936666666666667;0.0
FSLY_2021-03-03;FSLY;2021-03-03 22:18:00;2021-03-04;0;0;0;0;0;UNCHECKED;0.33525;0.33525;0.0;0.0
FSLY_2021-03-02;FSLY;2021-03-02 18:37:00;2021-03-02;0;0;0;0;0;UNCHECKED;0.5837;0.6597;0.0;0.0
FSLY_2021-03-01;FSLY;2021-03-01 11:36:00;2021-03-01;0;0;0;0;0;UNCHECKED;0.5859;0.5859;0.2235;0.2235
FSLY_2021-02-27;FSLY;2021-02-27 13:00:00;2021-03-01;0;0;0;0;0;UNCHECKED;0.819;0.819;0.23775000000000002;0.23775000000000002
FSLY_2021-02-25;FSLY;2021-02-25 21:05:00;2021-02-26;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
FSLY_2021-02-24;FSLY;2021-02-24 13:15:00;2021-02-24;0;0;0;0;0;UNCHECKED;0.7096;0.7096;0.0;0.0
FSLY_2021-02-23;FSLY;2021-02-23 17:40:00;2021-02-23;0;0;0;0;0;UNCHECKED;0.1027;0.1027;0.296;0.296
WISH_2021-03-09;WISH;2021-03-09 14:22:12;2021-03-09;0;0;0;0;0;UNCHECKED;0.2321;0.2321;-0.5622;-0.5622
WISH_2021-03-08;WISH;2021-03-08 21:07:00;2021-03-09;0;0;0;0;0;UNCHECKED;0.23695;0.23695;0.34895;0.34895
WISH_2021-03-04;WISH;2021-03-04 21:05:00;2021-03-05;0;0;0;0;0;UNCHECKED;0.1779;0.1779;0.4019;0.4019
WISH_2021-02-23;WISH;2021-02-23 14:30:00;2021-02-23;0;0;0;0;0;UNCHECKED;0.5267;0.5267;0.4019;0.4019
WISH_2021-02-12;WISH;2021-02-12 17:12:43;2021-02-12;0;0;0;0;0;UNCHECKED;0.6124;0.6124;0.0;0.0
WISH_2021-02-08;WISH;2021-02-08 13:00:00;2021-02-08;0;0;0;0;0;UNCHECKED;0.4939;0.4939;0.4019;0.4019
WISH_2021-02-03;WISH;2021-02-03 15:34:09;2021-02-03;0;0;0;0;0;UNCHECKED;0.802;0.802;0.0;0.0
WISH_2021-01-28;WISH;2021-01-28 12:00:00;2021-01-28;0;0;0;0;0;UNCHECKED;0.2732;0.2732;0.0;0.0
WISH_2021-01-27;WISH;2021-01-27 13:36:00;2021-01-27;0;0;0;0;0;UNCHECKED;0.596;0.596;0.4019;0.4019
CLNE_2021-03-10;CLNE;2021-03-10 22:19:00;2021-03-11;0;0;0;0;0;UNCHECKED;0.8108;0.7952;0.619025;0.5859
CLNE_2021-03-09;CLNE;2021-03-09 21:05:00;2021-03-10;0;0;0;0;0;UNCHECKED;0.7422666666666666;0.7096;0.5859;0.5859
CLNE_2021-03-08;CLNE;2021-03-08 14:22:02;2021-03-08;0;0;0;0;0;UNCHECKED;0.8932;0.8932;0.5859;0.5859
CLNE_2021-03-04;CLNE;2021-03-04 11:30:12;2021-03-04;0;0;0;0;0;UNCHECKED;0.7615000000000001;0.7615000000000001;0.57165;0.57165
CLNE_2021-03-03;CLNE;2021-03-03 15:00:00;2021-03-03;0;0;0;0;0;UNCHECKED;0.979;0.979;0.5859;0.5859
CLNE_2021-03-02;CLNE;2021-03-02 21:00:00;2021-03-03;0;0;0;0;0;UNCHECKED;0.8074;0.8074;0.2732;0.2732
CLNE_2021-02-26;CLNE;2021-02-26 10:00:00;2021-02-26;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
CLNE_2021-02-24;CLNE;2021-02-24 18:39:00;2021-02-24;0;0;0;0;0;UNCHECKED;0.63835;0.63835;0.5037;0.5037
CLNE_2021-02-23;CLNE;2021-02-23 19:48:57;2021-02-23;0;0;0;0;0;UNCHECKED;0.9118;0.9118;0.7184;0.7184
CLNE_2021-02-18;CLNE;2021-02-18 16:30:00;2021-02-18;0;0;0;0;0;UNCHECKED;0.4404;0.4404;0.3182;0.3182
CLNE_2021-02-11;CLNE;2021-02-11 22:45:10;2021-02-12;0;0;0;0;0;UNCHECKED;0.5859;0.5859;0.7351;0.7351
CLNE_2021-02-10;CLNE;2021-02-10 21:59:13;2021-02-11;0;0;0;0;0;UNCHECKED;0.9613;0.9613;0.5859;0.5859
CLNE_2021-02-09;CLNE;2021-02-09 14:06:00;2021-02-09;0;0;0;0;0;UNCHECKED;0.9382;0.9382;0.5859;0.5859
BE_2021-03-11;BE;2021-03-11 15:55:24;2021-03-11;0;0;0;0;0;UNCHECKED;-0.1531;-0.1531;-0.2263;-0.2263
BE_2021-03-09;BE;2021-03-09 19:47:00;2021-03-09;0;0;0;0;0;UNCHECKED;0.9313;0.9313;0.0;0.0
BE_2021-03-08;BE;2021-03-08 20:30:00;2021-03-09;0;0;0;0;0;UNCHECKED;0.7172000000000001;0.7172000000000001;0.34735;0.34735
BE_2021-03-05;BE;2021-03-05 18:13:03;2021-03-05;0;0;0;0;0;UNCHECKED;0.875;0.875;0.4939;0.4939
BE_2021-03-04;BE;2021-03-04 17:52:00;2021-03-04;0;0;0;0;0;UNCHECKED;0.8674;0.8674;0.4939;0.4939
BE_2021-03-02;BE;2021-03-02 21:35:50;2021-03-03;0;0;0;0;0;UNCHECKED;0.2732;0.2732;0.3182;0.3182
BE_2021-03-01;BE;2021-03-01 20:17:00;2021-03-02;0;0;0;0;0;UNCHECKED;0.9726;0.9726;0.2732;0.2732
BE_2021-02-28;BE;2021-02-28 23:00:00;2021-03-01;0;0;0;0;0;UNCHECKED;0.4404;0.4404;0.0;0.0
BE_2021-02-25;BE;2021-02-25 21:04:28;2021-02-26;0;0;0;0;0;UNCHECKED;-0.7184;-0.7184;-0.5719;-0.5719
BE_2021-02-23;BE;2021-02-23 22:50:00;2021-02-24;0;0;0;0;0;UNCHECKED;-0.024599999999999997;-0.024599999999999997;0.38585;0.38585
BE_2021-02-22;BE;2021-02-22 20:00:47;2021-02-23;0;0;0;0;0;UNCHECKED;0.70485;0.70485;0.04765;0.04765
BE_2021-02-19;BE;2021-02-19 20:18:00;2021-02-22;0;0;0;0;0;UNCHECKED;0.59815;0.59815;0.45505;0.45505
BE_2021-02-18;BE;2021-02-18 20:40:00;2021-02-19;0;0;0;0;0;UNCHECKED;0.47785;0.47785;0.05135;0.05135
BE_2021-02-17;BE;2021-02-17 18:51:00;2021-02-17;0;0;0;0;0;UNCHECKED;0.9179;0.9179;0.0;0.0
BE_2021-02-16;BE;2021-02-16 21:05:00;2021-02-17;0;0;0;0;0;UNCHECKED;0.2732;0.2732;0.2732;0.2732
TSLA_2021-03-11;TSLA;2021-03-11 15:57:46;2021-03-11;0;0;0;0;0;UNCHECKED;0.4308;0.3818;0.10168947368421052;0.0
TSLA_2021-03-10;TSLA;2021-03-10 21:10:42;2021-03-11;0;0;0;0;0;UNCHECKED;0.0;0.0;-0.296;-0.296
FSLY_2021-07-19;FSLY;2021-07-19 09:51:00;2021-07-19;0;0;0;0;0;UNCHECKED;0.8934;0.8934;0.0;0.0
FSLY_2021-07-16;FSLY;2021-07-16 16:27:15;2021-07-16;0;0;0;0;0;UNCHECKED;0.015300000000000036;0.015300000000000036;0.5386500000000001;0.5386500000000001
FSLY_2021-07-15;FSLY;2021-07-15 19:55:22;2021-07-15;0;0;0;0;0;UNCHECKED;-0.705;-0.705;0.0;0.0
FSLY_2021-07-14;FSLY;2021-07-14 20:24:29;2021-07-15;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
FSLY_2021-07-13;FSLY;2021-07-13 14:09:54;2021-07-13;0;0;0;0;0;UNCHECKED;0.86585;0.86585;0.4111;0.4111
FSLY_2021-07-12;FSLY;2021-07-12 22:01:00;2021-07-13;0;0;0;0;0;UNCHECKED;0.2886;0.0;0.1998;0.0
FSLY_2021-07-08;FSLY;2021-07-08 16:01:33;2021-07-08;0;0;0;0;0;UNCHECKED;0.3182;0.3182;0.296;0.296
FSLY_2021-07-07;FSLY;2021-07-07 19:54:19;2021-07-07;0;0;0;0;0;UNCHECKED;0.5806;0.5806;-0.1531;-0.1531
FSLY_2021-07-01;FSLY;2021-07-01 07:06:07;2021-07-01;0;0;0;0;0;UNCHECKED;0.4497;0.4497;0.296;0.296
FSLY_2021-06-29;FSLY;2021-06-29 20:05:00;2021-06-30;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
FSLY_2021-06-28;FSLY;2021-06-28 15:15:03;2021-06-28;0;0;0;0;0;UNCHECKED;0.5647;0.5647;0.0;0.0
FSLY_2021-06-24;FSLY;2021-06-24 16:09:29;2021-06-24;0;0;0;0;0;UNCHECKED;0.5574;0.5574;0.0;0.0
FSLY_2021-06-21;FSLY;2021-06-21 15:00:00;2021-06-21;0;0;0;0;0;UNCHECKED;0.49625;0.49625;0.1909;0.1909
FSLY_2021-06-20;FSLY;2021-06-20 09:51:00;2021-06-21;0;0;0;0;0;UNCHECKED;-0.5729;-0.5729;0.0;0.0
FSLY_2021-06-18;FSLY;2021-06-18 21:50:09;2021-06-21;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
WISH_2021-07-19;WISH;2021-07-19 21:45:09;2021-07-20;0;0;0;0;0;UNCHECKED;0.0129;0.0129;-0.030949999999999978;-0.030949999999999978
WISH_2021-07-16;WISH;2021-07-16 23:45:00;2021-07-19;0;0;0;0;0;UNCHECKED;0.138875;0.28459999999999996;0.1880125;0.16955
WISH_2021-07-15;WISH;2021-07-15 23:15:00;2021-07-16;0;0;0;0;0;UNCHECKED;0.26579;0.318;0.15901000000000004;0.06
CLNE_2021-07-19;CLNE;2021-07-19 18:03:13;2021-07-19;0;0;0;0;0;UNCHECKED;0.959;0.959;0.6249;0.6249
CLNE_2021-07-16;CLNE;2021-07-16 21:45:09;2021-07-19;0;0;0;0;0;UNCHECKED;0.7737333333333334;0.8519;0.48166666666666663;0.5859
CLNE_2021-07-12;CLNE;2021-07-12 21:50:09;2021-07-13;0;0;0;0;0;UNCHECKED;0.5859;0.5859;0.7351;0.7351
CLNE_2021-07-09;CLNE;2021-07-09 17:03:34;2021-07-09;0;0;0;0;0;UNCHECKED;0.42955;0.42955;0.5441;0.5441
CLNE_2021-07-08;CLNE;2021-07-08 12:00:00;2021-07-08;0;0;0;0;0;UNCHECKED;0.7096;0.7096;0.5859;0.5859
CLNE_2021-07-06;CLNE;2021-07-06 20:22:12;2021-07-07;0;0;0;0;0;UNCHECKED;0.0772;0.0772;0.0;0.0
CLNE_2021-06-29;CLNE;2021-06-29 21:54:04;2021-06-30;0;0;0;0;0;UNCHECKED;0.2732;0.2732;0.1779;0.1779
CLNE_2021-06-22;CLNE;2021-06-22 06:02:42;2021-06-22;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
CLNE_2021-06-21;CLNE;2021-06-21 18:29:23;2021-06-21;0;0;0;0;0;UNCHECKED;0.4158;0.4158;0.29295;0.29295
CLNE_2021-06-18;CLNE;2021-06-18 17:22:04;2021-06-18;0;0;0;0;0;UNCHECKED;0.798125;0.80795;0.421725;0.46295
CLNE_2021-06-17;CLNE;2021-06-17 12:23:12;2021-06-17;0;0;0;0;0;UNCHECKED;0.8225;0.8225;0.8225;0.8225
CLNE_2021-06-16;CLNE;2021-06-16 13:44:01;2021-06-16;0;0;0;0;0;UNCHECKED;0.2363;0.2363;0.6908;0.6908
CLNE_2021-06-15;CLNE;2021-06-15 14:49:16;2021-06-15;0;0;0;0;0;UNCHECKED;-0.34;-0.34;0.0;0.0
BE_2021-07-20;BE;2021-07-20 19:01:07;2021-07-20;0;0;0;0;0;UNCHECKED;0.4588;0.4588;-0.3818;-0.3818
BE_2021-07-19;BE;2021-07-19 17:54:34;2021-07-19;0;0;0;0;0;UNCHECKED;0.6597;0.6597;-0.0772;-0.0772
BE_2021-07-17;BE;2021-07-17 14:00:00;2021-07-19;0;0;0;0;0;UNCHECKED;0.5418499999999999;0.5418499999999999;0.1366;0.1366
BE_2021-07-16;BE;2021-07-16 13:03:00;2021-07-16;0;0;0;0;0;UNCHECKED;0.8442;0.8442;0.7269;0.7269
BE_2021-07-14;BE;2021-07-14 13:00:00;2021-07-14;0;0;0;0;0;UNCHECKED;0.7841;0.7841;0.2732;0.2732
BE_2021-07-08;BE;2021-07-08 20:12:00;2021-07-09;0;0;0;0;0;UNCHECKED;-0.024749999999999994;-0.024749999999999994;0.2732;0.2732
BE_2021-07-02;BE;2021-07-02 15:22:08;2021-07-02;0;0;0;0;0;UNCHECKED;0.39043333333333335;0.2732;0.2732;0.2732
BE_2021-07-01;BE;2021-07-01 00:40:00;2021-07-01;0;0;0;0;0;UNCHECKED;0.804;0.804;0.0;0.0
BE_2021-06-27;BE;2021-06-27 07:41:18;2021-06-28;0;0;0;0;0;UNCHECKED;0.5423;0.5423;0.6908;0.6908
BE_2021-06-23;BE;2021-06-23 13:25:00;2021-06-23;0;0;0;0;0;UNCHECKED;0.7269;0.7269;0.0;0.0
BE_2021-06-22;BE;2021-06-22 19:59:48;2021-06-22;0;0;0;0;0;UNCHECKED;0.7003;0.7003;0.2732;0.2732
BE_2021-06-10;BE;2021-06-10 22:00:00;2021-06-11;0;0;0;0;0;UNCHECKED;0.3612;0.3612;0.0;0.0
BE_2021-06-07;BE;2021-06-07 18:42:27;2021-06-07;0;0;0;0;0;UNCHECKED;0.9758;0.9758;0.4939;0.4939
BE_2021-06-06;BE;2021-06-06 13:49:00;2021-06-07;0;0;0;0;0;UNCHECKED;0.7906;0.7906;0.4404;0.4404
BE_2021-05-22;BE;2021-05-22 07:24:17;2021-05-24;0;0;0;0;0;UNCHECKED;-0.3818;-0.3818;0.5563;0.5563
BE_2021-05-18;BE;2021-05-18 20:42:00;2021-05-19;0;0;0;0;0;UNCHECKED;0.8765;0.8765;0.2732;0.2732
TSLA_2021-07-21;TSLA;2021-07-21 07:34:13;2021-07-21;0;0;0;0;0;UNCHECKED;0.2899;0.2899;0.0;0.0
TSLA_2021-07-20;TSLA;2021-07-20 23:01:02;2021-07-21;0;0;0;0;0;UNCHECKED;0.26438333333333336;0.25895;0.1802777777777778;0.0
