,open,high,low,close,adjclose,volume,ticker
2019-05-17,21.5,25.670000076293945,21.40999984741211,23.989999771118164,23.989999771118164,16102700,FSLY
2019-05-20,24.739999771118164,25.610000610351562,23.200000762939453,24.25,24.25,2719100,FSLY
2019-05-21,24.309999465942383,24.5,22.399999618530273,22.65999984741211,22.65999984741211,1634900,FSLY
2019-05-22,22.420000076293945,23.649999618530273,22.149999618530273,22.520000457763672,22.520000457763672,1105100,FSLY
2019-05-23,22.15999984741211,23.3799991607666,22.0,22.5,22.5,1571800,FSLY
2019-05-24,22.709999084472656,23.040000915527344,21.100000381469727,21.5,21.5,1145500,FSLY
2019-05-28,21.510000228881836,22.360000610351562,21.510000228881836,21.979999542236328,21.979999542236328,625800,FSLY
2019-05-29,21.809999465942383,21.959999084472656,19.739999771118164,21.260000228881836,21.260000228881836,827300,FSLY
2019-05-30,21.40999984741211,21.95199966430664,21.260000228881836,21.790000915527344,21.790000915527344,232200,FSLY
2019-05-31,21.579999923706055,21.579999923706055,20.299999237060547,20.799999237060547,20.799999237060547,715500,FSLY
2019-06-03,20.799999237060547,20.799999237060547,19.329999923706055,20.040000915527344,20.040000915527344,974100,FSLY
2019-06-04,20.260000228881836,21.0,19.520000457763672,20.920000076293945,20.920000076293945,350500,FSLY
2019-06-05,20.829999923706055,20.829999923706055,19.520000457763672,19.770000457763672,19.770000457763672,604400,FSLY
2019-06-06,19.93000030517578,20.270000457763672,19.399999618530273,20.1299991607666,20.1299991607666,526100,FSLY
2019-06-07,20.18000030517578,21.440000534057617,20.18000030517578,21.239999771118164,21.239999771118164,570600,FSLY
2019-06-10,21.510000228881836,23.100000381469727,21.510000228881836,22.860000610351562,22.860000610351562,866000,FSLY
2019-06-11,22.899999618530273,23.100000381469727,21.0,22.8700008392334,22.8700008392334,1150900,FSLY
2019-06-12,22.8700008392334,22.8700008392334,20.610000610351562,20.610000610351562,20.610000610351562,755400,FSLY
2019-06-13,21.0,21.329999923706055,20.40999984741211,21.0,21.0,477700,FSLY
2019-06-14,21.0,21.059999465942383,19.829999923706055,19.850000381469727,19.850000381469727,417300,FSLY
2019-06-17,20.0,20.100000381469727,19.0,19.280000686645508,19.280000686645508,540500,FSLY
2019-06-18,19.329999923706055,19.701000213623047,17.75,18.06999969482422,18.06999969482422,985800,FSLY
2019-06-19,18.399999618530273,19.364999771118164,17.461000442504883,19.170000076293945,19.170000076293945,973400,FSLY
2019-06-20,19.290000915527344,19.950000762939453,18.81999969482422,19.479999542236328,19.479999542236328,537400,FSLY
2019-06-21,19.889999389648438,19.940000534057617,18.15999984741211,18.200000762939453,18.200000762939453,1295300,FSLY
2019-06-24,18.5,18.799999237060547,17.260000228881836,17.5,17.5,755500,FSLY
2019-06-25,17.489999771118164,17.90999984741211,16.809999465942383,17.1299991607666,17.1299991607666,1022800,FSLY
2019-06-26,17.18000030517578,17.84000015258789,16.8799991607666,17.479999542236328,17.479999542236328,801300,FSLY
2019-06-27,17.59000015258789,19.06999969482422,17.59000015258789,18.860000610351562,18.860000610351562,845700,FSLY
2019-06-28,19.219999313354492,21.0,19.059999465942383,20.280000686645508,20.280000686645508,1088800,FSLY
2019-07-01,20.5,21.739999771118164,20.329999923706055,20.469999313354492,20.469999313354492,839900,FSLY
2019-07-02,20.639999389648438,21.350000381469727,19.989999771118164,20.1299991607666,20.1299991607666,601200,FSLY
2019-07-03,20.209999084472656,21.0,20.040000915527344,20.549999237060547,20.549999237060547,396500,FSLY
2019-07-05,20.5,21.5,20.170000076293945,21.100000381469727,21.100000381469727,311100,FSLY
2019-07-08,21.059999465942383,21.100000381469727,20.200000762939453,20.3799991607666,20.3799991607666,386300,FSLY
2019-07-09,20.25,20.6200008392334,19.410999298095703,19.5,19.5,675200,FSLY
2019-07-10,19.600000381469727,20.0,18.920000076293945,19.440000534057617,19.440000534057617,454400,FSLY
2019-07-11,19.479999542236328,20.649999618530273,19.280000686645508,20.049999237060547,20.049999237060547,648200,FSLY
2019-07-12,20.09000015258789,21.200000762939453,19.6560001373291,21.079999923706055,21.079999923706055,409200,FSLY
2019-07-15,21.200000762939453,22.229999542236328,21.059999465942383,22.139999389648438,22.139999389648438,495800,FSLY
2019-07-16,22.299999237060547,22.459999084472656,20.959999084472656,21.280000686645508,21.280000686645508,566300,FSLY
2019-07-17,21.290000915527344,21.899999618530273,20.930999755859375,21.6299991607666,21.6299991607666,380800,FSLY
2019-07-18,21.549999237060547,21.920000076293945,21.209999084472656,21.360000610351562,21.360000610351562,205900,FSLY
2019-07-19,21.549999237060547,22.1200008392334,21.3799991607666,21.889999389648438,21.889999389648438,533300,FSLY
2019-07-22,22.09000015258789,22.09000015258789,21.209999084472656,21.530000686645508,21.530000686645508,375100,FSLY
2019-07-23,21.81999969482422,22.0,21.375,21.780000686645508,21.780000686645508,367800,FSLY
2019-07-24,21.959999084472656,22.450000762939453,21.6200008392334,22.0,22.0,478900,FSLY
2019-07-25,21.969999313354492,23.219999313354492,21.799999237060547,22.969999313354492,22.969999313354492,766400,FSLY
2019-07-26,23.139999389648438,24.829999923706055,22.799999237060547,24.68000030517578,24.68000030517578,894200,FSLY
2019-07-29,24.899999618530273,25.549999237060547,22.6200008392334,23.3700008392334,23.3700008392334,934300,FSLY
2019-07-30,23.229999542236328,23.440000534057617,22.719999313354492,23.190000534057617,23.190000534057617,553400,FSLY
2019-07-31,23.190000534057617,23.420000076293945,21.510000228881836,21.700000762939453,21.700000762939453,1261800,FSLY
2019-08-01,21.790000915527344,21.8700008392334,19.149999618530273,19.530000686645508,19.530000686645508,1193700,FSLY
2019-08-02,19.600000381469727,20.290000915527344,18.75,18.940000534057617,18.940000534057617,886800,FSLY
2019-08-05,18.5,19.934999465942383,17.510000228881836,19.799999237060547,19.799999237060547,680200,FSLY
2019-08-06,20.1299991607666,20.860000610351562,19.950000762939453,20.739999771118164,20.739999771118164,576000,FSLY
2019-08-07,20.799999237060547,20.809999465942383,19.030000686645508,19.579999923706055,19.579999923706055,1140500,FSLY
2019-08-08,19.829999923706055,21.6200008392334,19.489999771118164,21.100000381469727,21.100000381469727,1153400,FSLY
2019-08-09,15.699999809265137,17.989999771118164,15.5,17.290000915527344,17.290000915527344,4306700,FSLY
