,open,high,low,close,adjclose,volume,ticker,diff_adjclose,isUp_adjclose,pctChange_adjclose,pctChange_high,pctChange_low,sma_2_adjclose,sma_2_high,sma_2_low,sma_3_high,sma_3_low,ema_2_adjclose,volatility_10_adjclose
2020-10-05,97.0999984741211,98.51000213623047,94.83499908447266,95.91000366210938,95.91000366210938,3848400,FSLY,False,0,,,,,,,,,,
2020-10-06,97.44000244140625,103.5,96.2300033569336,100.41000366210938,100.41000366210938,8458800,FSLY,True,1,4.691898475839373,5.065473307846258,1.4709804248728586,98.16000366210938,101.00500106811523,95.53250122070312,,,98.16000366210938,
2020-10-07,103.08999633789062,121.3499984741211,102.68000030517578,120.33000183105469,120.33000183105469,22993300,FSLY,True,1,19.838658940774746,17.246375337315058,6.70268806322083,110.37000274658203,112.42499923706055,99.45500183105469,107.78666687011719,97.91500091552734,110.37000274658203,
2020-10-08,120.87999725341797,122.23999786376953,113.55000305175781,115.72000122070312,115.72000122070312,14020100,FSLY,False,0,-3.831131505195251,0.7334152458503995,10.586290138561782,118.0250015258789,121.79499816894531,108.1150016784668,115.69666544596355,104.15333557128906,118.0250015258789,
2020-10-09,118.20999908447266,128.77000427246094,117.33200073242188,126.58000183105469,126.58000183105469,15746800,FSLY,True,1,9.38472217057722,5.341955597846759,3.330689193324088,121.1500015258789,125.50500106811523,115.44100189208984,124.12000020345052,111.18733469645183,121.1500015258789,
2020-10-12,128.02999877929688,129.35000610351562,124.01000213623047,126.55000305175781,126.55000305175781,7325700,FSLY,False,0,-0.023699461892023876,0.45041687645477335,5.691543110253372,126.56500244140625,129.06000518798828,120.67100143432617,126.7866694132487,118.29733530680339,126.56500244140625,
2020-10-13,127.44000244140625,136.5,127.02999877929688,128.8300018310547,128.8300018310547,10331600,FSLY,True,1,1.8016584151044013,5.527633211522542,2.4352847278792833,127.69000244140625,132.9250030517578,125.52000045776367,131.54000345865884,122.79066721598308,127.69000244140625,
2020-10-14,131.4499969482422,133.19000244140625,121.36000061035156,123.18000030517578,123.18000030517578,15009900,FSLY,False,0,-4.38562558843103,-2.4249066363324134,-4.463511157546673,126.00500106811523,134.84500122070312,124.19499969482422,133.01333618164062,124.13333384195964,126.00500106811523,
2020-10-15,86.62000274658203,95.3499984741211,85.0999984741211,89.69999694824219,89.69999694824219,57719100,FSLY,False,0,-27.179739628176335,-28.410543789825336,-29.878050390465827,106.43999862670898,114.27000045776367,103.22999954223633,121.68000030517578,111.16333262125652,106.43999862670898,
2020-10-16,91.0989990234375,91.11000061035156,84.0,84.66999816894531,84.66999816894531,28125200,FSLY,False,0,-5.60757965487918,-4.44677287008065,-1.292595174905442,87.18499755859375,93.22999954223633,84.54999923706055,106.5500005086263,96.81999969482422,87.18499755859375,53.193456824265354
